Key,en,es,ar,fr,de,ru,tr,hi,ur,cn,ig-ng
Transaction Failed. Failed to save information. Please try again,Transaction Failed. Failed to save information. Please try again,La transacción falló. No se pudo guardar la información. Por favor inténtalo de nuevo,فشلت الصفقة. فشل في حفظ المعلومات. يرجى المحاولة مرة أخرى,Échec de la transaction. Échec de l'enregistrement des informations. Veuillez réessayer,Transaktion fehlgeschlagen. Informationen konnten nicht gespeichert werden. Bitte versuche es erneut,"Транзакция не удалась. Не удалось сохранить информацию. Пожалуйста, попробуйте еще раз",İşlem başarısız. Bilgiler kaydedilemedi. Lütfen tekrar deneyin,लेन - देन विफल। जानकारी सहेजने में विफल. कृपया पुन: प्रयास करें,لین دین ناکام ہو گیا۔ معلومات محفوظ کرنے میں ناکام۔ دوبارہ کوشش کریں,交易失败。保存信息失败。请再试一次,Azụmahịa agaghị. Ịchekwa ozi agaghị. Biko nwaa ọzọ
Your wallet is invalid!,Your wallet is invalid!,¡Tu billetera no es válida!,محفظتك غير صالحة!,Votre portefeuille n'est pas valide !,Ihr Wallet ist ungültig!,Ваш кошелек недействителен!,Cüzdanınız geçersiz!,आपका बटुआ अमान्य है!,آپ کا بٹوہ غلط ہے!,你的钱包失效了！,Akpa gị abaghị uru!
Transaction Success. Please wait for admin confirmation,Transaction Success. Please wait for admin confirmation,Éxito de la transacción. Espere la confirmación del administrador.,نجاح الصفقة. الرجاء الانتظار لتأكيد المشرف,Succès des transactions. Veuillez attendre la confirmation de l'administrateur,Transaktionserfolg. Bitte warten Sie auf die Bestätigung durch den Administrator,"Успех транзакции. Пожалуйста, дождитесь подтверждения администратора",İşlem Başarılı. Lütfen yönetici onayını bekleyin,लेन-देन सफलता. कृपया व्यवस्थापक पुष्टि की प्रतीक्षा करें,لین دین کی کامیابی۔ براہ کرم منتظم کی تصدیق کا انتظار کریں۔,交易成功。请等待管理员确认,Ihe ịga nke ọma azụmahịa. Biko chere maka nkwenye nchịkwa
Request response fetch successfully!,Request response fetch successfully!,¡La solicitud de respuesta se obtuvo con éxito!,تم جلب الاستجابة للطلب بنجاح!,La réponse à la demande a été récupérée avec succès !,Anforderungsantwort erfolgreich abgerufen!,Ответ на запрос получен успешно!,İstek yanıtı başarıyla alındı!,अनुरोध प्रतिक्रिया सफलतापूर्वक प्राप्त हुई!,کامیابی کے ساتھ جواب کی بازیافت کی درخواست کریں!,请求响应获取成功！,Rịọ nzaghachi nke ọma!
Payment gateway response successful,Payment gateway response successful,Respuesta exitosa de la pasarela de pago,استجابة بوابة الدفع ناجحة,Réponse réussie de la passerelle de paiement,Antwort des Zahlungsgateways erfolgreich,Ответ платежного шлюза успешен,Ödeme ağ geçidi yanıtı başarılı,भुगतान गेटवे प्रतिक्रिया सफल,ادائیگی کے گیٹ وے کا جواب کامیاب,支付网关响应成功,Nzaghachi ọnụ ụzọ ịkwụ ụgwọ gara nke ọma
User dashboard data fetch successfully!,User dashboard data fetch successfully!,¡Los datos del panel de usuario se recuperaron correctamente!,تم جلب بيانات لوحة تحكم المستخدم بنجاح!,Les données du tableau de bord utilisateur ont été récupérées avec succès !,Datenabruf des Benutzer-Dashboards erfolgreich!,Данные панели пользователя получены успешно!,Kullanıcı kontrol paneli verileri başarıyla getirildi!,उपयोगकर्ता डैशबोर्ड डेटा सफलतापूर्वक प्राप्त हुआ!,صارف کا ڈیش بورڈ ڈیٹا کامیابی کے ساتھ بازیافت!,用户仪表板数据获取成功！,Nweta data dashboard onye ọrụ nke ọma!
Investment plan list fetch successfully!,Investment plan list fetch successfully!,¡La lista de planes de inversión se obtuvo con éxito!,تم جلب قائمة خطة الاستثمار بنجاح!,La liste des plans d'investissement a été récupérée avec succès !,Investitionsplanliste erfolgreich abgerufen!,Список инвестиционных планов успешно получен!,Yatırım planı listesi başarıyla getirildi!,निवेश योजना सूची सफलतापूर्वक प्राप्त हुई!,سرمایہ کاری کے منصوبے کی فہرست کامیابی کے ساتھ حاصل کی!,投资计划清单获取成功！,Nweta ndepụta atụmatụ itinye ego nke ọma!
Oops! This plan is no longer available,Oops! This plan is no longer available,¡Ups! Este plan ya no está disponible,أُووبس! هذه الخطة لم تعد متوفرة,Oups ! Ce forfait n'est plus disponible,Hoppla! Dieser Plan ist nicht mehr verfügbar,Упс! Этот план больше недоступен,Hata! Bu plan artık kullanılamıyor,उफ़! यह योजना अब उपलब्ध नहीं है,افوہ! یہ منصوبہ اب دستیاب نہیں ہے۔,哎呀！该计划不再可用,Ee! Atụmatụ a adịkwaghị
Oops! Wallet not found!,Oops! Wallet not found!,¡Ups! ¡Cartera no encontrada!,أُووبس! لم يتم العثور على المحفظة!,Oups ! Portefeuille introuvable !,Hoppla! Wallet nicht gefunden!,Упс! Кошелек не найден!,Hata! Cüzdan bulunamadı!,उफ़! बटुआ नहीं मिला!,افوہ! پرس نہیں ملا!,哎呀！找不到钱包！,Ee! Ahụghị obere akpa!
Oops! Something went wrong! Please try again,Oops! Something went wrong! Please try again,¡Ups! ¡Algo salió mal! Por favor inténtalo de nuevo,أُووبس! حدث خطأ ما! يرجى المحاولة مرة أخرى,Oups ! Quelque chose s'est mal passé ! Veuillez réessayer,Hoppla! Etwas ist schief gelaufen! Bitte versuche es erneut,"Упс! Что-то пошло не так! Пожалуйста, попробуйте еще раз",Hata! Bir şeyler yanlış gitti! Lütfen tekrar deneyin,उफ़! कुछ गलत हो गया! कृपया पुन: प्रयास करें,افوہ! کچھ غلط ہو گیا! دوبارہ کوشش کریں,哎呀！出了些问题！请再试一次,Ee! Ọ nwere ihe adịghị mma! Biko nwaa ọzọ
New Investment Plan Purchase Successfully!,New Investment Plan Purchase Successfully!,¡Compra del nuevo plan de inversión con éxito!,تم شراء الخطة الاستثمارية الجديدة بنجاح!,Achat d'un nouveau plan d'investissement avec succès !,Kauf eines neuen Investitionsplans erfolgreich!,Успешная покупка нового инвестиционного плана!,Yeni Yatırım Planı Satın Alma Başarıyla!,नई निवेश योजना की खरीदारी सफलतापूर्वक!,نئے سرمایہ کاری کے منصوبے کی کامیابی کے ساتھ خریداری!,新投资计划购买成功！,Ịzụta atụmatụ itinye ego ọhụrụ nke ọma!
Investment data fetch successfully!,Investment data fetch successfully!,¡Los datos de inversión se obtuvieron con éxito!,تم جلب بيانات الاستثمار بنجاح!,Les données d'investissement ont été récupérées avec succès !,Investitionsdaten erfolgreich abgerufen!,Инвестиционные данные получены успешно!,Yatırım verileri başarıyla getirildi!,निवेश डेटा सफलतापूर्वक लाया गया!,سرمایہ کاری کا ڈیٹا کامیابی سے حاصل ہوا!,投资数据获取成功！,Nweta data ntinye ego nke ọma!
Investment profit data fetch successfully!,Investment profit data fetch successfully!,¡Los datos de ganancias de inversión se obtuvieron con éxito!,تم جلب بيانات أرباح الاستثمار بنجاح!,Les données sur les bénéfices d'investissement sont récupérées avec succès !,Daten zum Anlagegewinn erfolgreich abgerufen!,Данные об инвестиционной прибыли успешно получены!,Yatırım karı verileri başarıyla getirildi!,निवेश लाभ डेटा सफलतापूर्वक लाया गया!,سرمایہ کاری کے منافع کا ڈیٹا کامیابی سے حاصل ہوا!,投资盈利数据获取成功！,Nweta data uru itinye ego nke ọma!
